FAMILIA;TAMAÑO;PLANIFICACIÓN;MAE_XGB;MAE_PLANNER;N;MEJORA_XGB;MODELO_ELEGIDO
AIO;45' - 56';CONEXIONADO DE EQUIPOS;14,207730611165365;237,83333333333334;3;223,625602722168;xgboost
PM;50' - 56';INSTALACION DE CABLE;164,12156546456475;339,2714285714286;7;175,14986310686385;xgboost
PM;20' - 45';CONEXIONADO DE EQUIPOS;118,77870178222656;273,6875;8;154,90879821777344;xgboost
PM;50' - 56';CONEXIONADO DE EQUIPOS;51,721389593396864;198,1142857142857;7;146,39289612088885;xgboost
DH;2u-4u;MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;18,010955810546875;142,75;1;124,73904418945312;xgboost
DH;2u-4u;LIMPIEZA FINAL;42,50926208496094;137,0;1;94,49073791503906;xgboost
DH;2u-4u;MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;12,847877502441406;99,5;1;86,6521224975586;xgboost
AIO;45' - 56';PANELADO;11,610616048177084;90,66666666666667;3;79,05605061848959;xgboost
AIO;45' - 56';MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;30,462493896484375;107,75;2;77,28750610351562;xgboost
SKID;20' - 45';MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;14,652043660481771;89,33333333333333;3;74,68128967285156;xgboost
DH;2u-4u;INTRODUCCION/FIJACION DE EQUIPOS;39,98179626464844;113,75;1;73,76820373535156;xgboost
DH;2u-4u;TRABAJOS PREVIOS MECANICOS;12,509658813476562;83,0;1;70,49034118652344;xgboost
AIO;45' - 56';INSTALACION DE BANDEJAS;14,43056615193685;81,16666666666667;3;66,73610051472983;xgboost
AIO;20' - 40';CONEXIONADO DE EQUIPOS;50,0820058186849;115,66666666666667;3;65,58466084798178;xgboost
PM;20' - 45';PANELADO;14,029479217529296;74,3;5;60,2705207824707;xgboost
PM;50' - 56';CERRAMIENTO DE ALUMINIO;41,0518414088658;97,37142857142858;7;56,31958716256278;xgboost
AIO;20' - 40';INSTALACION DE CABLE;56,14588292439779;110,66666666666667;3;54,52078374226888;xgboost
