PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
TRABAJOS PREVIOS MECANICOS;10.0;AIO;20' - 40'
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;15.0;AIO;20' - 40'
NIVELACION;5.0;AIO;20' - 40'
INSTALACION CARRILES DE SOPORTACION;48.0;AIO;20' - 40'
INSTALACION DE BANDEJAS;67.0;AIO;20' - 40'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;18.0;AIO;20' - 40'
EQUIPOS;;AIO;20' - 40'
INTRODUCCION/FIJACION de EQUIPOS;100.0;AIO;20' - 40'
ENSAMBLAJE DE CUADROS CUADRISTA;20.0;AIO;20' - 40'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);19.0;AIO;20' - 40'
CADENAS PORTACABLES;9.0;AIO;20' - 40'
INSTALACION DE SUELO;20.0;AIO;20' - 40'
PANELADO;16.0;AIO;20' - 40'
MODIFICACIONES EN PANEL;;AIO;20' - 40'
R-QP05-12 Pre-Installation of doors;1.0;AIO;20' - 40'
INSTALACION  DE PUERTAS;12.0;AIO;20' - 40'
INSTALACION ROXTEC;12.0;AIO;20' - 40'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;29.0;AIO;20' - 40'
CERRAMIENTO DE ALUMINIO;22.0;AIO;20' - 40'
PERFILERIA EXTERIOR;17.0;AIO;20' - 40'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;AIO;20' - 40'
CORTE Y/O PREPARACION DE CABLE;42.0;AIO;20' - 40'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;7.0;AIO;20' - 40'
SISTEMA DE TIERRAS;32.0;AIO;20' - 40'
SISTEMA DE ILUMINACION/EMERGENCIAS;35.0;AIO;20' - 40'
CABLEADO Y CONEXIONADO POTENCIA;;AIO;20' - 40'
INSTALACION DE CABLE;71.0;AIO;20' - 40'
CONEXIONADO DE EQUIPOS;199.0;AIO;20' - 40'
ETIQUETADO DE CABLE Y EQUIPOS;17.0;AIO;20' - 40'
INSTALACION DE MEDIA TENSION;;AIO;20' - 40'
TRANSFORMADOR;0.0;AIO;20' - 40'
